IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,InjurySeverityCde,KABCO_Code,KABCO,Environmental_Factors,Human_Factors,Vehicular_Factors
28251402,0050000,BARREN COUNTY SHERIFF DEPT.,Accepted,BARREN,KY0090,,BURKESVILLE,RD,,,PENNY,,,,,36.96305059,-85.87618739,12.894,6/3/2021,636,1,1,0,0,CLOUDY,DRY,FALSE,COLLISION WITH ANIMAL IN INTERSECTION,SINGLE VEHICLE,STRAIGHT & GRADE,DAYLIGHT,,,44361.34881,FALSE,125,Accepted,5,5,O,ANIMALS ACTION,,
28251403,0050000,BARREN COUNTY SHERIFF DEPT.,Accepted,BARREN,KY2207,,FORK,RD,S,,BAYLES,,,,,36.97369661,-85.96061524,3.235,6/4/2021,1524,2,2,0,0,CLEAR,DRY,FALSE,OPPOSITE DIRECTION - BOTH VEHICLES GOING STRAIGHT AHEAD,SIDESWIPE-OPPOSITE DIRECTION,CURVE & GRADE,DAYLIGHT,,,44361.34891,FALSE,125,Accepted,5,5,O,,MISJUDGE CLEARANCE,
28254233,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,,316,CLEVELAND,AVE,,,,,WILLOW,,LESLIE,36.99272222,-85.92077552,0.68,6/12/2021,1310,2,2,0,0,CLEAR,DRY,FALSE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),BACKING,STRAIGHT & GRADE,DAYLIGHT,,,44361.84124,FALSE,2240,Accepted,5,5,O,IMPROPERLY PARKED VEHICLE(S),INATTENTION,
28254235,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,KY0090,,HAPPY VALLEY,RD,,,,,SHALIMAR,,ENSMINGER,37.01004302,-85.92249241,9.855,6/4/2021,1406,2,2,0,0,CLEAR,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DUSK,,,44361.84133,FALSE,2242,Accepted,5,5,O,"BACKUP DUE TO REGULAR CONGESTION, VIEW OBSTRUCTED/LIMITED DUE TO RDWY",INATTENTION,
28259890,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,LN9008,,LN9008 E,,,,,LN9008,LN9008 E EXIT11 ON RAMP FROM US31E,LN9008,LN9008 E EXIT14 OFF RAMP TO KY90,36.97390825,-85.92520398,12.088,6/4/2021,1952,1,1,0,0,CLEAR,DRY,FALSE,COLLISION WITH ANIMAL NON INTERSECTION,SINGLE VEHICLE,CURVE & LEVEL,DUSK,,,44363.12688,FALSE,2237,Accepted,5,5,O,,,
28269199,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,,322,LEXINGTON,DR,,,,,MOSS,,CASTLERIDGE,37.01106093,-85.91214844,0.409,6/8/2021,649,2,2,0,0,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR TO REAR,STRAIGHT & LEVEL,DAYLIGHT,,,44365.36296,FALSE,2268,Accepted,5,5,O,,IMPROPER BACKING,
28269203,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,US0031E,,L ROGERS WELLS,BLVD,N,,,,HAPPY VALLEY,KY0090,HAPPY VALLEY,37.00957644,-85.92143905,14.847,6/9/2021,1605,2,2,0,0,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,44365.36315,FALSE,2268,Accepted,5,5,O,,"INATTENTION, MISJUDGE CLEARANCE",
28269206,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,,,CHERRY,ST,W,,,US0031E,L ROGERS WELLS,,SMITH,37.00890318,-85.92218056,,6/12/2021,1153,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & HILLCREST,DAYLIGHT,,,44365.36348,FALSE,2268,Accepted,5,5,O,,"INATTENTION, MISJUDGE CLEARANCE",
28269212,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,US0068,,VETERANS OUTER,LOOP,,US0068,NEW GLASGOW,,,,,37.01207842,-85.9530492,10.051,6/12/2021,1214,2,2,0,0,CLEAR,DRY,FALSE,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DAYLIGHT,,,44365.36371,FALSE,2410,Accepted,5,5,O,,INATTENTION,
28270209,0050200,CAVE CITY POLICE DEPARTMENT,Accepted,BARREN,US0031W,1001,DIXIE,HWY,S,,,,,,,37.12799149,-85.9633485,6.781,6/8/2021,2327,1,1,0,0,CLOUDY,DRY,TRUE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,44365.62952,FALSE,605,Accepted,5,5,O,,MISJUDGE CLEARANCE,
28270211,0050200,CAVE CITY POLICE DEPARTMENT,Accepted,BARREN,,540,FARMER,RD,,,,,,,,37.15275324,-85.97913886,0.349,6/12/2021,114,1,1,0,0,CLEAR,DRY,FALSE,COLLISION WITH ANIMAL NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/OFF,,,44365.62984,FALSE,610,Accepted,5,5,O,,,
28270220,0050200,CAVE CITY POLICE DEPARTMENT,Accepted,BARREN,KY0070,,MAMMOTH CAVE,RD,,,,,,,,37.13607363,-85.98011357,4.942,6/17/2021,1811,2,2,0,0,CLEAR,DRY,TRUE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,44365.63045,FALSE,607,Accepted,5,5,O,,INATTENTION,
28277231,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,,,HAPPY VALLEY,RD,,,LEXINGTON,,,,,37.00517401,-85.91086792,0.646,6/17/2021,1349,2,2,0,0,CLEAR,DRY,FALSE,OPPOSING LEFT TURN,OPPOSING LEFT TURN,STRAIGHT & LEVEL,DAYLIGHT,,,44368.11206,FALSE,2277,Accepted,5,5,O,,"FAILED TO YIELD RIGHT OF WAY, MISJUDGE CLEARANCE",
28277232,0050100,GLASGOW POLICE DEPARTMENT,Accepted,BARREN,KY0090,,HAPPY VALLEY,RD,,,,,SHALIMAR,,ENSMINGER,37.01048763,-85.92347462,9.767,6/18/2021,1443,2,2,0,0,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,44368.11214,FALSE,2277,Accepted,5,5,O,BACKUP DUE TO REGULAR CONGESTION,"FAILED TO KEEP PROPER LANE, FAILED TO YIELD RIGHT OF WAY",
